Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,specialty coffee shop,Coffeemeetswaffle,099223 65367,,4.5,90.0
Nashik,specialty coffee shop,Hotspot cafe cidco,,,4.6,31.0
Nashik,specialty coffee shop,The White Mug,,,4.6,332.0
Nashik,specialty coffee shop,Cafe G9,091195 22119,,4.3,43.0
Nashik,specialty coffee shop,Nacho's Cafe,,,3.8,11.0
Nashik,specialty coffee shop,ankush tea stall,096233 26264,,4.6,11.0
Nashik,specialty coffee shop,The D Cafe,098811 00747,,4.1,124.0
Nashik,dentist,Parashar Multispeciality Dental Clinic,095524 94929,,5.0,15.0
Nashik,dentist,DENTAL CLINIC,096735 33767,,3.0,1.0
Nashik,dentist,Omkar Teeth Care,0253 250 1983,,5.0,1.0
Nashik,dentist,Navarkar dental clinic,,,4.8,85.0
Nashik,dentist,Varad Dental Care Center,074208 05664,,4.9,70.0
Nashik,dentist,Swami Multispeciality Dental Clinic,090494 92122,,5.0,23.0
Nashik,dentist,Nirog Dental Clinic -,072767 71234,,4.8,27.0
Nashik,dentist,ASHIRWAD DENTAL CLINIC,077749 48297,,5.0,11.0
Nashik,dentist,Wellness Dental Clinic,097623 70545,,5.0,8.0
Nashik,dentist,Nutrident Dental & Diet Clinic,094200 80771,,5.0,28.0
Nashik,dentist,Dr Trupti.R.Dani Dental Clinic,,,5.0,4.0
Nashik,dentist,Dr. Ahire's Advanced Dental Solutions,079729 21130,,5.0,131.0
Nashik,dentist,Shree Rushi Dental Clinic,084850 31453,,5.0,34.0
Nashik,dentist,AMAN FAMILY DENTAL CARE,,,4.9,118.0
Nashik,dentist,Shree Nath Dental Clinic,088054 10695,,4.7,3.0
Nashik,dentist,Sai Dental Care,083089 45719,,4.9,28.0
Nashik,dentist,Swara Multispeciality Dental Clinic,094047 83987,,5.0,12.0
Nashik,dentist,White Lily Dental,093115 87752,,,
Nashik,dentist,Deep Dental & Orthodontic clinic,0253 250 6400,,4.7,106.0
Nashik,dentist,NOVACURE DENTAL CLINIC,080550 88044,,5.0,52.0
Nashik,dentist,Shrivastava Dental Clinic -Affordable Dental Services in Nashik |Best Root Canal Treatment (RCT) in Nashik,077963 76170,,4.9,14.0
Nashik,dentist,Dental Destination Clinic,080877 79775,,4.9,41.0
Nashik,dentist,Family Smiles Dental Clinic,078751 40970,,5.0,42.0
Nashik,dentist,Dr khan's dentistry,077578 68286,,5.0,25.0
Nashik,dentist,Dr. Muskaan's Dental Care,096078 69281,,5.0,25.0
Nashik,dentist,Shreeji Dental Care Clinic,089566 71966,,5.0,67.0
Nashik,dentist,Noble Smile Multi-speciality Dental Clinic (Branch1),090116 77735,,5.0,93.0
Nashik,dentist,Dental Hub Clinic - Dr.Bhagyashree Mahale,075177 46076,,5.0,52.0
Nashik,dentist,Sabir Dental Clinic,084217 86423,,5.0,5.0
Nashik,dentist,Kalakiran Dental Clinic,095527 98826,,4.9,155.0
Nashik,dentist,Luthra Dental Clinic,0253 250 0109,,4.8,10.0
Nashik,dentist,Raghunandan Dental Clinic (Dr Gupta Dental clinic),098231 57280,,5.0,169.0
Nashik,dentist,Umrao Dental Clinic,0253 250 7692,,5.0,10.0
Nashik,dentist,Siddhivinayak Dental Care,090114 33633,,5.0,154.0
Nashik,dentist,DENTIQUE- Your Smile Boutique Dental clinic,087934 98989,,5.0,61.0
Nashik,dentist,K.B.H. Dental College and Hospital,0253 251 4873,,4.1,128.0
Nashik,dentist,Dr. Karwa's Dental Clinic,097667 85740,,4.9,65.0
Nashik,dentist,MARATHI LOKSEVA TRUST - CITY DENTAL CLINIC,089568 88100,,4.9,12.0
Nashik,dentist,32 Sparkles Dental Clinic,099707 83582,,5.0,99.0
Nashik,dentist,Rupvate's SMILE DENTAL CLINIC,088052 77823,,5.0,1.0
Nashik,dentist,The Smile Clinic,,,4.9,9.0
Nashik,dentist,Gurudev Dental Clinic,0253 241 0074,,5.0,15.0
Nashik,dentist,Dr Aher's Dental Care,099235 39253,,5.0,676.0
